Date,Open,High,Low,Close,Adj Close,Volume
2014-01-21,286.649994,288.875000,284.399994,285.750000,252.449188,255900
2014-01-22,286.000000,291.000000,283.500000,288.725006,257.783905,309164
2014-01-23,288.700012,289.975006,282.500000,289.200012,258.207977,218284
2014-01-24,288.000000,293.325012,285.299988,286.600006,255.886612,267992
2014-01-27,285.500000,289.450012,282.500000,285.399994,254.815155,221150
2014-01-28,283.500000,287.000000,282.149994,284.000000,253.565201,118408
2014-01-29,284.000000,287.950012,283.049988,285.899994,255.261581,132582
2014-01-30,285.299988,287.500000,280.774994,285.924988,255.283905,126430
2014-01-31,285.649994,289.500000,285.000000,287.475006,256.667786,128420
2014-02-03,287.000000,287.000000,281.274994,282.975006,252.650024,111648
2014-02-04,280.100006,280.100006,272.174988,277.950012,248.163589,191806
2014-02-05,279.500000,282.500000,275.674988,279.899994,249.904617,118012
2014-02-06,281.500000,285.600006,277.575012,284.174988,253.721451,195920
2014-02-07,284.500000,286.725006,278.500000,280.475006,250.417984,173898
2014-02-10,282.200012,284.750000,280.600006,281.524994,251.355423,71064
2014-02-11,281.899994,285.500000,280.174988,281.450012,251.288498,345358
2014-02-12,282.500000,285.500000,279.000000,281.075012,250.953705,229762
2014-02-13,281.500000,283.049988,275.225006,277.825012,248.051971,192800
2014-02-14,281.250000,283.200012,276.524994,282.000000,251.779541,139174
2014-02-17,283.000000,284.725006,278.649994,280.424988,250.373337,160168
2014-02-18,281.350006,282.399994,277.500000,278.524994,248.676926,1127092
2014-02-19,279.500000,284.000000,278.600006,282.274994,252.025024,175834
2014-02-20,282.000000,285.125000,280.575012,282.799988,252.493759,719114
2014-02-21,283.750000,287.375000,283.049988,285.899994,255.261581,157068
2014-02-24,287.375000,290.850006,285.024994,289.049988,258.074036,261728
2014-02-25,289.750000,298.399994,289.750000,297.575012,265.685516,322302
2014-02-26,297.600006,305.250000,297.049988,301.674988,269.346100,367166
2014-02-28,301.674988,302.475006,294.875000,298.375000,266.399719,215508
2014-03-03,297.500000,299.950012,291.924988,292.825012,261.444489,174268
2014-03-04,292.549988,297.399994,292.549988,294.575012,263.006989,255126
2014-03-05,295.600006,298.000000,293.524994,294.799988,263.207825,128850
2014-03-06,295.424988,297.100006,291.750000,292.274994,260.953369,109986
2014-03-07,293.350006,295.000000,280.000000,282.774994,252.471497,389154
2014-03-10,282.450012,285.725006,277.700012,278.700012,248.833176,239082
2014-03-11,279.350006,283.250000,276.950012,279.950012,249.949265,244196
2014-03-12,280.125000,285.000000,279.850006,283.174988,252.828613,189440
2014-03-13,281.950012,287.200012,275.299988,281.700012,251.511673,387830
2014-03-14,281.000000,282.225006,272.500000,273.524994,244.212769,361726
2014-03-18,273.524994,275.375000,268.725006,270.149994,241.199448,245248
2014-03-19,270.450012,274.899994,264.475006,272.500000,243.297607,314730
2014-03-20,273.000000,279.950012,272.899994,275.475006,245.953796,539514
2014-03-21,279.000000,288.549988,277.225006,283.975006,253.542892,474086
2014-03-22,null,null,null,null,null,null
2014-03-24,285.500000,287.375000,280.575012,281.524994,251.355423,160312
2014-03-25,279.899994,279.924988,273.149994,274.250000,244.860077,170178
